,damage taken,direction,encounter,month of departure
5999,54%,northbound,kraken,10/1398
6000,58%,northbound,kraken,10/1398
6001,76%,southbound,water elemental,10/1398
6002,16%,southbound,harpy,10/1398
6003,52%,southbound,kraken,10/1398
6004,27%,southbound,sharks,10/1398
6005,12%,northbound,sharks,10/1398
6006,34%,southbound,pirates,10/1398
6007,18%,southbound,sharks,10/1398
6008,100%+,northbound,unknown,10/1398
6009,16%,southbound,harpy,10/1398
6010,100%+,northbound,unknown,10/1398
6011,54%,southbound,merpeople,10/1398
6012,38%,southbound,pirates,10/1398
6013,58%,northbound,kraken,10/1398
6014,21%,southbound,sharks,10/1398
6015,57%,northbound,pirates,10/1398
6016,52%,southbound,kraken,10/1398
6017,100%+,southbound,unknown,10/1398
6018,87%,southbound,crabmonsters,10/1398
6019,70%,northbound,merpeople,10/1398
6020,17%,southbound,sharks,10/1398
6021,84%,southbound,water elemental,10/1398
6022,74%,southbound,water elemental,10/1398
6023,74%,southbound,water elemental,10/1398
6024,99%,southbound,merpeople,10/1398
6025,24%,southbound,sharks,10/1398
6026,82%,northbound,water elemental,10/1398
6027,53%,northbound,pirates,10/1398
6028,34%,southbound,pirates,10/1398
6029,100%+,northbound,unknown,10/1398
6030,46%,southbound,merpeople,10/1398
6031,42%,northbound,pirates,10/1398
6032,80%,southbound,water elemental,10/1398
6033,58%,northbound,merpeople,10/1398
6034,65%,southbound,kraken,10/1398
6035,18%,northbound,pirates,10/1398
6036,88%,southbound,nessie,10/1398
6037,65%,northbound,merpeople,10/1398
6038,13%,northbound,pirates,10/1398
6039,14%,southbound,harpy,10/1398
6040,8%,southbound,crabmonsters,10/1398
6041,38%,northbound,pirates,10/1398
6042,74%,northbound,water elemental,10/1398
6043,74%,northbound,water elemental,10/1398
6044,54%,southbound,merpeople,10/1398
6045,11%,northbound,sharks,10/1398
6046,21%,southbound,pirates,10/1398
6047,18%,northbound,sharks,10/1398
6048,100%+,northbound,unknown,10/1398
6049,15%,southbound,sharks,10/1398
6050,17%,northbound,pirates,10/1398
6051,50%,northbound,merpeople,10/1398
6052,17%,northbound,harpy,10/1398
6053,35%,northbound,kraken,10/1398
6054,47%,northbound,merpeople,10/1398
6055,16%,southbound,pirates,10/1398
6056,16%,northbound,crabmonsters,10/1398
6057,24%,southbound,sharks,10/1398
6058,10%,southbound,crabmonsters,10/1398
6059,22%,southbound,pirates,10/1398
6060,2%,northbound,crabmonsters,10/1398
6061,54%,northbound,kraken,10/1398
6062,48%,northbound,pirates,10/1398
6063,59%,southbound,merpeople,10/1398
6064,18%,northbound,pirates,10/1398
6065,22%,southbound,pirates,10/1398
6066,34%,southbound,pirates,10/1398
6067,17%,northbound,sharks,10/1398
6068,33%,southbound,pirates,10/1398
6069,22%,northbound,pirates,10/1398
6070,37%,southbound,pirates,10/1398
6071,37%,southbound,merpeople,10/1398
6072,48%,southbound,merpeople,10/1398
6073,15%,southbound,pirates,10/1398
6074,100%+,northbound,unknown,10/1398
6075,45%,northbound,pirates,10/1398
6076,47%,northbound,pirates,10/1398
6077,18%,northbound,pirates,10/1398
6078,33%,northbound,pirates,10/1398
6079,17%,northbound,sharks,10/1398
6080,23%,northbound,sharks,10/1398
6081,100%+,southbound,unknown,10/1398
6082,51%,southbound,crabmonsters,10/1398
6083,100%+,southbound,unknown,10/1398
6084,100%+,northbound,unknown,10/1398
6085,27%,northbound,merpeople,10/1398
6086,60%,northbound,merpeople,10/1398
6087,75%,northbound,water elemental,10/1398
6088,100%+,northbound,unknown,10/1398
6089,67%,northbound,merpeople,10/1398
6090,54%,southbound,pirates,10/1398
6091,33%,southbound,pirates,10/1398
6092,23%,northbound,pirates,10/1398
6093,88%,northbound,nessie,10/1398
6094,11%,southbound,pirates,10/1398
6095,46%,northbound,merpeople,10/1398
6096,18%,southbound,pirates,10/1398
6097,100%+,southbound,unknown,10/1398
6098,64%,northbound,merpeople,10/1398
6099,100%+,southbound,unknown,10/1398
6100,45%,northbound,merpeople,10/1398
6101,100%+,southbound,unknown,10/1398
6102,28%,southbound,sharks,10/1398
6103,100%+,northbound,unknown,10/1398
6104,100%+,southbound,unknown,10/1398
6105,16%,southbound,pirates,10/1398
6106,7%,southbound,pirates,10/1398
6107,74%,southbound,water elemental,10/1398
6108,18%,southbound,sharks,10/1398
6109,21%,northbound,pirates,10/1398
6110,19%,northbound,pirates,10/1398
6111,100%+,northbound,unknown,10/1398
6112,74%,southbound,water elemental,10/1398
6113,13%,northbound,harpy,10/1398
6114,18%,northbound,pirates,10/1398
6115,100%+,northbound,unknown,10/1398
6116,9%,northbound,harpy,10/1398
6117,22%,southbound,pirates,10/1398
6118,85%,southbound,nessie,10/1398
6119,100%+,northbound,unknown,10/1398
6120,17%,southbound,pirates,10/1398
6121,76%,southbound,merpeople,10/1398
6122,82%,southbound,nessie,10/1398
6123,32%,southbound,merpeople,10/1398
6124,100%+,southbound,unknown,10/1398
6125,25%,northbound,pirates,10/1398
6126,50%,southbound,kraken,10/1398
6127,48%,northbound,merpeople,10/1398
6128,100%+,northbound,unknown,10/1398
6129,36%,southbound,sharks,10/1398
6130,55%,northbound,kraken,10/1398
6131,94%,southbound,nessie,10/1398
6132,40%,northbound,kraken,10/1398
6133,18%,northbound,sharks,10/1398
6134,30%,northbound,merpeople,10/1398
6135,25%,northbound,sharks,10/1398
6136,9%,southbound,harpy,10/1398
6137,69%,southbound,nessie,10/1398
6138,72%,northbound,crabmonsters,10/1398
6139,52%,southbound,pirates,10/1398
6140,41%,northbound,pirates,10/1398
6141,16%,southbound,pirates,10/1398
6142,19%,northbound,pirates,10/1398
6143,15%,northbound,sharks,10/1398
6144,15%,southbound,sharks,11/1398
6145,39%,southbound,pirates,11/1398
6146,71%,southbound,kraken,11/1398
6147,29%,northbound,pirates,11/1398
6148,49%,northbound,merpeople,11/1398
6149,81%,northbound,water elemental,11/1398
6150,22%,northbound,pirates,11/1398
6151,80%,southbound,water elemental,11/1398
6152,19%,northbound,pirates,11/1398
6153,100%+,southbound,unknown,11/1398
6154,38%,southbound,pirates,11/1398
6155,15%,southbound,pirates,11/1398
6156,100%+,northbound,unknown,11/1398
6157,85%,northbound,water elemental,11/1398
6158,76%,southbound,nessie,11/1398
6159,42%,northbound,kraken,11/1398
6160,10%,southbound,crabmonsters,11/1398
6161,58%,southbound,kraken,11/1398
6162,22%,southbound,sharks,11/1398
6163,22%,southbound,pirates,11/1398
6164,10%,northbound,harpy,11/1398
6165,7%,northbound,crabmonsters,11/1398
6166,68%,southbound,merpeople,11/1398
6167,62%,northbound,crabmonsters,11/1398
6168,43%,southbound,merpeople,11/1398
6169,100%+,southbound,unknown,11/1398
6170,89%,northbound,nessie,11/1398
6171,45%,northbound,merpeople,11/1398
6172,31%,northbound,pirates,11/1398
6173,84%,southbound,demon whale,11/1398
6174,61%,southbound,kraken,11/1398
6175,47%,northbound,merpeople,11/1398
6176,76%,northbound,nessie,11/1398
6177,29%,southbound,merpeople,11/1398
6178,19%,southbound,pirates,11/1398
6179,64%,southbound,merpeople,11/1398
6180,22%,southbound,pirates,11/1398
6181,100%+,northbound,unknown,11/1398
6182,2%,northbound,crabmonsters,11/1398
6183,17%,northbound,harpy,11/1398
6184,100%+,southbound,unknown,11/1398
6185,100%+,northbound,unknown,11/1398
6186,9%,northbound,harpy,11/1398
6187,100%+,northbound,unknown,11/1398
6188,75%,northbound,water elemental,11/1398
6189,100%+,southbound,unknown,11/1398
6190,36%,southbound,pirates,11/1398
6191,20%,southbound,pirates,11/1398
6192,27%,northbound,merpeople,11/1398
6193,48%,southbound,kraken,11/1398
6194,35%,northbound,pirates,11/1398
6195,22%,northbound,pirates,11/1398
6196,36%,southbound,pirates,11/1398
6197,77%,southbound,water elemental,11/1398
6198,100%+,southbound,unknown,11/1398
6199,13%,northbound,pirates,11/1398
6200,100%+,northbound,unknown,11/1398
6201,77%,southbound,water elemental,11/1398
6202,17%,southbound,pirates,11/1398
6203,100%+,southbound,unknown,11/1398
6204,76%,northbound,water elemental,11/1398
6205,19%,northbound,sharks,11/1398
6206,93%,northbound,nessie,11/1398
6207,100%+,northbound,unknown,11/1398
6208,43%,northbound,merpeople,11/1398
6209,25%,northbound,merpeople,11/1398
6210,12%,southbound,pirates,11/1398
6211,79%,northbound,water elemental,11/1398
6212,90%,northbound,demon whale,11/1398
6213,55%,southbound,pirates,11/1398
6214,21%,northbound,merpeople,11/1398
6215,53%,northbound,kraken,11/1398
6216,24%,southbound,sharks,11/1398
6217,25%,northbound,sharks,11/1398
6218,18%,southbound,sharks,11/1398
6219,11%,northbound,pirates,11/1398
6220,19%,southbound,sharks,11/1398
6221,87%,northbound,merpeople,11/1398
6222,91%,northbound,nessie,11/1398
6223,44%,southbound,pirates,11/1398
6224,74%,southbound,nessie,11/1398
6225,87%,southbound,nessie,11/1398
6226,23%,northbound,pirates,11/1398
6227,41%,northbound,sharks,11/1398
6228,50%,northbound,merpeople,11/1398
6229,8%,northbound,pirates,11/1398
6230,76%,southbound,water elemental,11/1398
6231,21%,northbound,sharks,11/1398
6232,77%,northbound,water elemental,11/1398
6233,17%,northbound,pirates,11/1398
6234,100%+,northbound,unknown,11/1398
6235,32%,northbound,merpeople,11/1398
6236,34%,southbound,pirates,11/1398
6237,14%,northbound,pirates,11/1398
6238,28%,southbound,pirates,11/1398
6239,93%,southbound,crabmonsters,11/1398
6240,56%,southbound,merpeople,11/1398
6241,10%,northbound,harpy,11/1398
6242,55%,northbound,kraken,11/1398
6243,79%,southbound,water elemental,11/1398
6244,22%,southbound,sharks,11/1398
6245,21%,southbound,pirates,11/1398
6246,36%,northbound,sharks,11/1398
6247,36%,southbound,pirates,11/1398
6248,58%,southbound,merpeople,11/1398
6249,85%,northbound,nessie,11/1398
6250,100%+,northbound,unknown,11/1398
6251,14%,southbound,harpy,11/1398
6252,51%,northbound,kraken,11/1398
6253,15%,northbound,sharks,11/1398
6254,100%+,southbound,unknown,11/1398
6255,17%,southbound,harpy,11/1398
6256,14%,southbound,sharks,11/1398
6257,66%,southbound,kraken,11/1398
6258,31%,northbound,pirates,11/1398
6259,40%,southbound,pirates,11/1398
6260,22%,southbound,sharks,11/1398
6261,27%,northbound,pirates,11/1398
6262,91%,southbound,merpeople,11/1398
6263,61%,northbound,pirates,11/1398
6264,59%,northbound,merpeople,11/1398
6265,39%,northbound,pirates,11/1398
6266,100%+,southbound,unknown,11/1398
6267,58%,northbound,kraken,11/1398
6268,32%,southbound,sharks,11/1398
6269,100%+,northbound,unknown,11/1398
6270,29%,northbound,pirates,11/1398
6271,80%,northbound,water elemental,11/1398
6272,20%,northbound,pirates,11/1398
6273,27%,southbound,crabmonsters,11/1398
6274,40%,southbound,pirates,11/1398
6275,100%+,northbound,unknown,11/1398
6276,59%,southbound,merpeople,11/1398
6277,100%+,northbound,unknown,11/1398
6278,51%,northbound,pirates,11/1398
6279,52%,northbound,kraken,11/1398
6280,32%,northbound,pirates,11/1398
6281,13%,northbound,sharks,11/1398
6282,9%,northbound,harpy,11/1398
6283,18%,northbound,sharks,11/1398
6284,53%,northbound,pirates,11/1398
6285,8%,northbound,crabmonsters,11/1398
6286,22%,northbound,sharks,11/1398
6287,15%,southbound,pirates,11/1398
6288,57%,northbound,merpeople,11/1398
6289,31%,southbound,sharks,11/1398
6290,32%,southbound,pirates,11/1398
6291,74%,northbound,water elemental,11/1398
6292,50%,southbound,kraken,11/1398
6293,29%,southbound,pirates,11/1398
6294,15%,northbound,harpy,11/1398
6295,100%+,northbound,unknown,11/1398
6296,26%,southbound,sharks,11/1398
6297,64%,southbound,crabmonsters,11/1398
6298,11%,northbound,harpy,11/1398
6299,12%,southbound,sharks,11/1398
6300,28%,southbound,pirates,11/1398
6301,28%,northbound,sharks,11/1398
6302,17%,northbound,pirates,11/1398
6303,29%,northbound,sharks,11/1398
6304,25%,southbound,crabmonsters,11/1398
6305,98%,northbound,demon whale,11/1398
6306,57%,southbound,merpeople,11/1398
6307,17%,northbound,harpy,11/1398
6308,100%+,southbound,unknown,11/1398
6309,48%,southbound,kraken,11/1398
6310,22%,northbound,pirates,11/1398
6311,64%,northbound,kraken,11/1398
6312,84%,northbound,water elemental,11/1398
6313,37%,southbound,pirates,11/1398
6314,91%,southbound,crabmonsters,11/1398
6315,26%,southbound,sharks,11/1398
6316,84%,southbound,nessie,11/1398
6317,32%,southbound,pirates,11/1398
6318,20%,southbound,pirates,11/1398
6319,85%,northbound,nessie,11/1398
6320,47%,northbound,pirates,11/1398
6321,85%,southbound,nessie,11/1398
6322,79%,southbound,water elemental,11/1398
6323,78%,southbound,nessie,11/1398
6324,82%,northbound,water elemental,11/1398
6325,78%,northbound,water elemental,11/1398
6326,100%+,southbound,unknown,12/1398
6327,30%,southbound,sharks,12/1398
6328,40%,northbound,pirates,12/1398
6329,13%,southbound,sharks,12/1398
6330,97%,northbound,merpeople,12/1398
6331,19%,northbound,pirates,12/1398
6332,24%,northbound,sharks,12/1398
6333,20%,northbound,sharks,12/1398
6334,52%,southbound,merpeople,12/1398
6335,15%,northbound,pirates,12/1398
6336,71%,southbound,kraken,12/1398
6337,17%,northbound,harpy,12/1398
6338,29%,southbound,pirates,12/1398
6339,60%,southbound,merpeople,12/1398
6340,17%,southbound,sharks,12/1398
6341,23%,southbound,pirates,12/1398
6342,100%+,southbound,unknown,12/1398
6343,21%,southbound,pirates,12/1398
6344,35%,northbound,pirates,12/1398
6345,46%,southbound,pirates,12/1398
6346,47%,northbound,pirates,12/1398
6347,33%,southbound,pirates,12/1398
6348,11%,southbound,pirates,12/1398
6349,50%,southbound,merpeople,12/1398
6350,90%,northbound,merpeople,12/1398
6351,27%,southbound,pirates,12/1398
6352,38%,southbound,merpeople,12/1398
6353,18%,southbound,pirates,12/1398
6354,100%+,southbound,unknown,12/1398
6355,47%,southbound,pirates,12/1398
6356,10%,northbound,sharks,12/1398
6357,31%,southbound,sharks,12/1398
6358,12%,southbound,sharks,12/1398
6359,12%,southbound,pirates,12/1398
6360,23%,southbound,sharks,12/1398
6361,18%,northbound,harpy,12/1398
6362,55%,northbound,merpeople,12/1398
6363,76%,southbound,water elemental,12/1398
6364,48%,southbound,pirates,12/1398
6365,19%,southbound,pirates,12/1398
6366,41%,northbound,pirates,12/1398
6367,20%,southbound,pirates,12/1398
6368,57%,northbound,kraken,12/1398
6369,34%,northbound,sharks,12/1398
6370,28%,northbound,crabmonsters,12/1398
6371,41%,northbound,merpeople,12/1398
6372,100%+,southbound,unknown,12/1398
6373,9%,northbound,sharks,12/1398
6374,100%+,southbound,unknown,12/1398
6375,12%,southbound,pirates,12/1398
6376,28%,southbound,sharks,12/1398
6377,18%,southbound,sharks,12/1398
6378,85%,northbound,water elemental,12/1398
6379,100%+,northbound,unknown,12/1398
6380,100%+,southbound,unknown,12/1398
6381,11%,northbound,harpy,12/1398
6382,26%,southbound,pirates,12/1398
6383,45%,northbound,merpeople,12/1398
6384,45%,southbound,pirates,12/1398
6385,18%,southbound,pirates,12/1398
6386,41%,northbound,pirates,12/1398
6387,35%,northbound,kraken,12/1398
6388,39%,southbound,sharks,12/1398
6389,72%,southbound,nessie,12/1398
6390,46%,southbound,pirates,12/1398
6391,14%,northbound,harpy,12/1398
6392,81%,northbound,nessie,12/1398
6393,20%,northbound,harpy,12/1398
6394,22%,southbound,pirates,12/1398
6395,53%,northbound,kraken,12/1398
6396,13%,northbound,pirates,12/1398
6397,56%,southbound,merpeople,12/1398
6398,39%,northbound,pirates,12/1398
6399,25%,southbound,pirates,12/1398
6400,60%,southbound,merpeople,12/1398
6401,20%,northbound,merpeople,12/1398
6402,68%,northbound,nessie,12/1398
6403,85%,southbound,water elemental,12/1398
6404,35%,northbound,sharks,12/1398
6405,45%,northbound,pirates,12/1398
6406,77%,southbound,water elemental,12/1398
6407,78%,southbound,water elemental,12/1398
6408,100%+,southbound,unknown,12/1398
6409,78%,northbound,water elemental,12/1398
6410,100%+,southbound,unknown,12/1398
6411,18%,southbound,crabmonsters,12/1398
6412,100%+,northbound,unknown,12/1398
6413,11%,northbound,pirates,12/1398
6414,38%,southbound,merpeople,12/1398
6415,35%,southbound,sharks,12/1398
6416,42%,northbound,merpeople,12/1398
6417,100%+,northbound,unknown,12/1398
6418,20%,northbound,sharks,12/1398
6419,28%,southbound,sharks,12/1398
6420,15%,southbound,harpy,12/1398
6421,11%,northbound,harpy,12/1398
6422,22%,southbound,merpeople,12/1398
6423,51%,northbound,merpeople,12/1398
6424,25%,southbound,merpeople,12/1398
6425,25%,southbound,sharks,12/1398
6426,34%,northbound,merpeople,12/1398
6427,22%,southbound,pirates,12/1398
6428,63%,southbound,kraken,12/1398
6429,100%+,southbound,unknown,12/1398
6430,83%,southbound,demon whale,12/1398
6431,14%,northbound,sharks,12/1398
6432,45%,northbound,pirates,12/1398
6433,1%,southbound,crabmonsters,12/1398
6434,59%,southbound,kraken,12/1398
6435,96%,northbound,demon whale,12/1398
6436,17%,southbound,sharks,12/1398
6437,18%,southbound,pirates,12/1398
6438,47%,southbound,pirates,12/1398
6439,21%,southbound,sharks,12/1398
6440,89%,northbound,nessie,12/1398
6441,56%,southbound,kraken,12/1398
6442,56%,northbound,merpeople,12/1398
6443,31%,southbound,pirates,12/1398
6444,29%,northbound,sharks,12/1398
6445,27%,northbound,sharks,12/1398
6446,48%,northbound,merpeople,12/1398
6447,49%,northbound,merpeople,12/1398
6448,31%,northbound,pirates,12/1398
6449,57%,southbound,merpeople,12/1398
6450,10%,northbound,pirates,12/1398
6451,61%,southbound,kraken,12/1398
6452,77%,southbound,water elemental,12/1398
6453,78%,northbound,water elemental,12/1398
6454,27%,northbound,sharks,12/1398
6455,33%,northbound,sharks,12/1398
6456,44%,northbound,merpeople,12/1398
6457,9%,southbound,sharks,12/1398
6458,100%+,northbound,unknown,12/1398
6459,20%,northbound,sharks,12/1398
6460,28%,northbound,pirates,12/1398
6461,15%,northbound,pirates,12/1398
6462,40%,northbound,pirates,12/1398
6463,9%,southbound,harpy,12/1398
6464,100%+,southbound,unknown,12/1398
6465,80%,northbound,water elemental,12/1398
6466,16%,southbound,pirates,12/1398
6467,24%,southbound,sharks,12/1398
6468,52%,southbound,kraken,12/1398
6469,64%,southbound,kraken,12/1398
6470,9%,northbound,harpy,12/1398
6471,29%,northbound,sharks,12/1398
6472,16%,northbound,pirates,12/1398
6473,85%,northbound,water elemental,12/1398
6474,20%,northbound,harpy,12/1398
6475,100%+,northbound,unknown,12/1398
6476,15%,southbound,pirates,12/1398
6477,85%,southbound,water elemental,12/1398
6478,100%+,southbound,unknown,12/1398
6479,52%,northbound,kraken,12/1398
6480,26%,northbound,merpeople,12/1398
6481,41%,southbound,pirates,12/1398
6482,25%,southbound,sharks,12/1398
6483,82%,northbound,nessie,12/1398
6484,20%,northbound,sharks,12/1398
6485,56%,southbound,kraken,12/1398
6486,78%,northbound,water elemental,12/1398
6487,20%,southbound,pirates,12/1398
6488,100%+,northbound,unknown,12/1398
6489,31%,southbound,sharks,12/1398
6490,100%+,northbound,unknown,12/1398
6491,100%+,northbound,unknown,12/1398
6492,26%,southbound,pirates,12/1398
6493,47%,northbound,pirates,12/1398
6494,43%,northbound,pirates,12/1398
6495,16%,northbound,pirates,12/1398
6496,48%,southbound,crabmonsters,12/1398
6497,83%,northbound,water elemental,12/1398
6498,14%,northbound,pirates,12/1398
6499,55%,northbound,pirates,12/1398
6500,34%,southbound,pirates,12/1398
6501,12%,northbound,sharks,12/1398
6502,100%+,northbound,unknown,12/1398
6503,66%,southbound,merpeople,12/1398
6504,100%+,northbound,unknown,12/1398
6505,58%,northbound,kraken,12/1398
6506,78%,southbound,water elemental,12/1398
6507,6%,southbound,harpy,12/1398
6508,37%,southbound,pirates,12/1398
6509,82%,northbound,water elemental,12/1398
6510,100%+,northbound,unknown,12/1398
6511,100%+,northbound,unknown,12/1398
6512,76%,southbound,water elemental,12/1398
6513,82%,northbound,water elemental,12/1398
6514,20%,southbound,pirates,12/1398
6515,58%,northbound,kraken,1/1399
6516,38%,northbound,sharks,1/1399
6517,29%,northbound,pirates,1/1399
6518,67%,southbound,kraken,1/1399
